Slide,Step,category,value,color,label,lightness,duration,title,subtitle
1,1,Colombia,52.0,,,,,Life expectancy at birth in Colombia in 1952,
2,1,You,72.0,,,,,You are now 72 years old,
3,1,Expected years,52.0,,,,,You have live 20 years more than to your life expectancy at birth in Colombia,
3,1,Earned years,20.0,,,,,,
4,1,Lived,100.0,,,,,"Then, you have lived 38.5 % more of your life in Colombia",
4,1,Earned extra time,38.46153846153847,,,,,,
5,1,San Marino,75.2188,,,no,,Colombia's life expectancy is in the position 126 in the world for 1952,
5,2,Guernsey,74.8548,,,no,,,
5,3,Iceland,74.8242,,,no,,,
5,4,Norway,74.2986,,,no,,,
5,5,Sweden,73.2885,,,no,,,
5,6,Netherlands,73.2881,,,no,,,
5,7,Jersey,72.5748,,,no,,,
5,8,Denmark,72.1481,,,no,,,
5,9,United Kingdom,72.1066,,,no,,,
5,10,Australia,72.042,,,no,,,
5,11,Switzerland,71.8506,,,no,,,
5,12,Monaco,71.6161,,,no,,,
5,13,New Zealand,71.496,,,no,,,
5,14,United States of America,71.496,,,no,,,
5,15,Canada,71.3912,,,no,,,
5,16,Andorra,71.2374,,,no,,,
5,17,Belgium,70.4585,,,no,,,
5,18,Estonia,70.3829,,,no,,,
5,19,France,70.223,,,no,,,
5,20,Gibraltar,69.9667,,,no,,,
5,21,Germany,69.8581,,,no,,,
5,22,Saint Pierre and Miquelon,69.5152,,,no,,,
5,23,Finland,69.4841,,,no,,,
5,24,Greece,69.3539,,,no,,,
5,25,Uruguay,69.3246,,,no,,,
5,26,Liechtenstein,69.2722,,,no,,,
5,27,Czechia,69.2492,,,no,,,
5,28,Austria,69.23,,,no,,,
5,29,Lithuania,69.2245,,,no,,,
5,30,Latvia,69.0277,,,no,,,
5,31,Israel,69.0189,,,no,,,
5,32,Ireland,68.6932,,,no,,,
5,33,Luxembourg,68.5908,,,no,,,
5,34,"Bonaire, Sint Eustatius and Saba",68.5636,,,no,,,
5,35,Saint Martin (French part),68.4669,,,no,,,
5,36,Saint Helena,68.3874,,,no,,,
5,37,Isle of Man,68.2436,,,no,,,
5,38,Italy,67.6902,,,no,,,
5,39,Holy See,67.3159,,,no,,,
5,40,Spain,66.9884,,,no,,,
5,41,Slovenia,66.5993,,,no,,,
5,42,Slovakia,66.238,,,no,,,
5,43,Hungary,66.156,,,no,,,
5,44,Argentina,65.4245,,,no,,,
5,45,Malta,65.4194,,,no,,,
5,46,Bermuda,65.1508,,,no,,,
5,47,Japan,64.67,,,no,,,
5,48,Ukraine,64.4776,,,no,,,
5,49,Faroe Islands,64.2691,,,no,,,
5,50,Sint Maarten (Dutch part),64.1585,,,no,,,
5,51,Belarus,63.8235,,,no,,,
5,52,Romania,63.714,,,no,,,
5,53,Puerto Rico,63.548,,,no,,,
5,54,"China, Hong Kong SAR",63.3825,,,no,,,
5,55,Curaçao,63.287,,,no,,,
5,56,Georgia,63.2248,,,no,,,
5,57,Lebanon,62.9506,,,no,,,
5,58,Bahamas,62.5133,,,no,,,
5,59,Guam,62.4477,,,no,,,
5,60,United States Virgin Islands,62.407,,,no,,,
5,61,Aruba,62.3422,,,no,,,
5,62,Northern Mariana Islands,62.3313,,,no,,,
5,63,Poland,62.2544,,,no,,,
5,64,Portugal,62.1814,,,no,,,
5,65,Cuba,62.1233,,,no,,,
5,66,American Samoa,62.011,,,no,,,
5,67,Cyprus,62.0073,,,no,,,
5,68,Croatia,61.8363,,,no,,,
5,69,Singapore,61.4744,,,no,,,
5,70,Bulgaria,61.0761,,,no,,,
5,71,Paraguay,61.0114,,,no,,,
5,72,Kazakhstan,60.8612,,,no,,,
5,73,Russian Federation,60.8528,,,no,,,
5,74,Antigua and Barbuda,60.8322,,,no,,,
5,75,"China, Macao SAR",60.7316,,,no,,,
5,76,Anguilla,60.7197,,,no,,,
5,77,Seychelles,60.4547,,,no,,,
5,78,Montenegro,60.2606,,,no,,,
5,79,"China, Taiwan Province of China",60.2507,,,no,,,
5,80,Jamaica,59.5598,,,no,,,
5,81,Nauru,59.2723,,,no,,,
5,82,Costa Rica,58.7526,,,no,,,
5,83,Trinidad and Tobago,58.7145,,,no,,,
5,84,Serbia,58.6468,,,no,,,
5,85,Armenia,58.5006,,,no,,,
5,86,Republic of Moldova,58.354,,,no,,,
5,87,Saint Kitts and Nevis,58.1894,,,no,,,
5,88,Saint Barthélemy,57.9695,,,no,,,
5,89,Palau,57.8792,,,no,,,
5,90,Panama,57.7494,,,no,,,
5,91,Tokelau,57.6738,,,no,,,
5,92,Barbados,57.5838,,,no,,,
5,93,Cayman Islands,57.0052,,,no,,,
5,94,Martinique,56.9019,,,no,,,
5,95,Kyrgyzstan,56.9005,,,no,,,
5,96,Marshall Islands,56.7418,,,no,,,
5,97,Sri Lanka,56.6907,,,no,,,
5,98,Niue,56.4584,,,no,,,
5,99,Guadeloupe,56.4107,,,no,,,
5,100,Grenada,56.1999,,,no,,,
5,101,British Virgin Islands,56.1634,,,no,,,
5,102,Philippines,55.9653,,,no,,,
5,103,Uzbekistan,55.9442,,,no,,,
5,104,Chile,55.9425,,,no,,,
5,105,French Polynesia,55.1713,,,no,,,
5,106,Venezuela (Bolivarian Republic of),55.0149,,,no,,,
5,107,Tonga,54.6806,,,no,,,
5,108,Qatar,54.6057,,,no,,,
5,109,Viet Nam,54.3791,,,no,,,
5,110,Turks and Caicos Islands,54.2233,,,no,,,
5,111,Kuwait,53.8711,,,no,,,
5,112,Brunei Darussalam,53.8537,,,no,,,
5,113,Guyana,53.7434,,,no,,,
5,114,Saint Lucia,53.716,,,no,,,
5,115,Mauritius,53.4036,,,no,,,
5,116,Suriname,53.401,,,no,,,
5,117,Turkmenistan,53.388,,,no,,,
5,118,Micronesia (Fed. States of),53.0182,,,no,,,
5,119,Réunion,52.9134,,,no,,,
5,120,Fiji,52.7131,,,no,,,
