Slide,Step,category,value,color,label,lightness,duration,title,subtitle
1,1,You,5.0,#4171cd,You,,,"This is you, born in 1978",
2,1,hearhbit,0.0,#4171cd,,,,"Your first hours, your hearth started beating",
2,2,hearhbit,0.0,,,,0.5,,
2,3,hearhbit,0.0,,,,0.5,,
2,4,hearhbit,-25.0,,,,0.1,,
2,5,hearhbit,25.0,,,,0.1,,
2,6,hearhbit,0.0,,,,0.5,,
2,7,hearhbit,0.0,,,,0.5,,
2,8,hearhbit,30.0,,,,0.1,,
2,9,hearhbit,-50.0,,,,0.1,,
2,10,hearhbit,100.0,,,,0.2,,
2,11,hearhbit,0.0,,,,0.5,,
2,12,hearhbit,0.0,,,,0.5,,
2,13,hearhbit,0.0,,,,0.5,"One of the 407,525 Boys born that year in Colombia",
2,14,hearhbit,-25.0,,,,0.1,,
2,15,hearhbit,25.0,,,,0.1,,
2,16,hearhbit,0.0,,,,0.5,,
2,17,hearhbit,0.0,,,,0.5,,
2,18,hearhbit,30.0,,,,0.1,,
2,19,hearhbit,-50.0,,,,0.1,,
2,20,hearhbit,100.0,,,,0.2,,
2,21,hearhbit,0.0,,,,0.2,,
2,22,hearhbit,0.0,,,,0.5,,
2,23,hearhbit,0.0,,,,0.5,,
2,24,hearhbit,-25.0,,,,0.1,"Colombia had 796,756 newborns in 1978","389,231 girls were born with you"
2,25,hearhbit,25.0,,,,0.1,,
2,26,hearhbit,0.0,,,,0.5,,
2,27,hearhbit,0.0,,,,0.5,,
2,28,hearhbit,30.0,,,,0.1,,
2,29,hearhbit,-50.0,,,,0.1,,
2,30,hearhbit,100.0,,,,0.1,,
2,31,hearhbit,0.0,,,,0.5,,
2,32,hearhbit,0.0,,,,0.5,,
2,33,hearhbit,0.0,,,,0.5,,
3,1,World,57.3,,,No,,"When you were born in Colombia your life expectancy was 63,2 years",This how it looks compared with the rest of South America an the world
3,1,Uruguay,66.8,,,No,,,
3,1,Venezuela (Bolivarian Republic of),65.6,,,No,,,
3,1,Chile,65.0,,,No,,,
