Slide,Step,category,value,color,label,lightness,duration,title,subtitle
1,1,Colombia,63.0,,,,,Life expectany at birth in Colombia in 1978,
2,1,You,46.0,,,,,"Now, you are 46 years old",
3,1,Curren Age,46.0,,,,,Accorging to statistics you sill have left 17 years,
3,1,Remaining years,17.0,,,,,,
4,1,Curren Age,73.01587302,,,,,"So, you have lived 75% of your expected life at birth",
4,1,Remaining life,26.98412698,,,,,,
5,1,Iceland,73.6322,,,No,,,
5,1,Faroe Islands,73.4211,,,No,,,
5,1,Andorra,73.3571,,,No,,,
5,1,Japan,72.9648,,,No,,,
5,1,San Marino,72.8782,,,No,,,
5,1,"Bonaire, Sint Eustatius and Saba",72.4796,,,No,,,
5,1,Sweden,72.4623,,,No,,,
5,1,Norway,72.3537,,,No,,,
5,1,Netherlands,71.9343,,,No,,,
5,1,Liechtenstein,71.9326,,,No,,,
5,1,Switzerland,71.887,,,No,,,
5,1,Greece,71.7105,,,No,,,
5,1,Guernsey,71.531,,,No,,,
5,1,Denmark,71.5146,,,No,,,
5,1,Spain,71.4191,,,No,,,
5,1,Monaco,71.3401,,,No,,,
5,1,Israel,71.0947,,,No,,,
5,1,Canada,70.9129,,,No,,,
5,1,Gibraltar,70.7404,,,No,,,
5,1,Holy See,70.4965,,,No,,,
5,1,"China, Hong Kong SAR",70.4285,,,No,,,
5,1,Italy,70.4168,,,No,,,
5,1,Sint Maarten (Dutch part),70.362,,,No,,,
5,1,Cuba,70.351,,,No,,,
5,1,Australia,70.331,,,No,,,
5,1,Malta,70.1463,,,No,,,
5,1,"China, Macao SAR",69.9906,,,No,,,
5,1,United Kingdom,69.9369,,,No,,,
5,1,France,69.8195,,,No,,,
5,1,New Zealand,69.758,,,No,,,
5,1,Costa Rica,69.7125,,,No,,,
5,1,United States of America,69.6189,,,No,,,
5,1,"China, Taiwan Province of China",69.4061,,,No,,,
5,1,Antigua and Barbuda,69.4035,,,No,,,
5,1,Belgium,69.3941,,,No,,,
5,1,Montenegro,69.3793,,,No,,,
5,1,Ireland,69.3488,,,No,,,
5,1,Cyprus,69.1198,,,No,,,
5,1,Germany,69.1066,,,No,,,
5,1,Barbados,69.0607,,,No,,,
5,1,Puerto Rico,68.817,,,No,,,
5,1,Bahrain,68.791,,,No,,,
5,1,Jersey,68.7653,,,No,,,
5,1,Bulgaria,68.7445,,,No,,,
5,1,Serbia,68.6534,,,No,,,
5,1,Finland,68.5804,,,No,,,
5,1,Austria,68.44,,,No,,,
5,1,Singapore,68.386,,,No,,,
5,1,Kuwait,68.3417,,,No,,,
5,1,Bermuda,68.2472,,,No,,,
5,1,Luxembourg,68.2399,,,No,,,
5,1,Qatar,67.9867,,,No,,,
5,1,Curaçao,67.9851,,,No,,,
5,1,Dominica,67.8582,,,No,,,
5,1,Saint Martin (French part),67.817,,,No,,,
5,1,Martinique,67.7941,,,No,,,
5,1,North Macedonia,67.6097,,,No,,,
5,1,Brunei Darussalam,67.5277,,,No,,,
5,1,Portugal,67.3352,,,No,,,
5,1,Slovenia,67.3186,,,No,,,
5,1,Romania,67.2333,,,No,,,
5,1,Czechia,67.1902,,,No,,,
5,1,Saint Barthélemy,67.1276,,,No,,,
5,1,Croatia,67.021,,,No,,,
5,1,Slovakia,66.9039,,,No,,,
5,1,Jamaica,66.8469,,,No,,,
5,1,Uruguay,66.8132,,,No,,,
5,1,Guam,66.7431,,,No,,,
5,1,Saint Helena,66.7331,,,No,,,
5,1,Albania,66.6253,,,No,,,
5,1,British Virgin Islands,66.6225,,,No,,,
5,1,Mayotte,66.584,,,No,,,
5,1,Montserrat,66.5332,,,No,,,
5,1,Panama,66.4662,,,No,,,
5,1,Aruba,66.4112,,,No,,,
5,1,Poland,66.3045,,,No,,,
5,1,American Samoa,66.1976,,,No,,,
5,1,Hungary,66.1513,,,No,,,
5,1,Lithuania,65.9958,,,No,,,
5,1,Cayman Islands,65.963,,,No,,,
5,1,Saint Vincent and the Grenadines,65.9377,,,No,,,
5,1,Belarus,65.9323,,,No,,,
5,1,Bahamas,65.8782,,,No,,,
5,1,Bosnia and Herzegovina,65.7946,,,No,,,
5,1,Venezuela (Bolivarian Republic of),65.5504,,,No,,,
5,1,Grenada,65.4726,,,No,,,
5,1,Guadeloupe,65.4603,,,No,,,
5,1,United Arab Emirates,65.3759,,,No,,,
5,1,Malaysia,65.0934,,,No,,,
5,1,Chile,65.0243,,,No,,,
5,1,Northern Mariana Islands,65.0156,,,No,,,
5,1,Turks and Caicos Islands,64.758,,,No,,,
5,1,Anguilla,64.7325,,,No,,,
5,1,Saint Pierre and Miquelon,64.7188,,,No,,,
5,1,Saint Lucia,64.7056,,,No,,,
5,1,Ukraine,64.6981,,,No,,,
5,1,Tokelau,64.6976,,,No,,,
5,1,Seychelles,64.6952,,,No,,,
5,1,Sri Lanka,64.6799,,,No,,,
5,1,United States Virgin Islands,64.6706,,,No,,,
5,1,French Polynesia,64.6664,,,No,,,
5,1,Jordan,64.5467,,,No,,,
5,1,Argentina,64.5354,,,No,,,
5,1,Belize,64.3953,,,No,,,
5,1,Estonia,64.308,,,No,,,
5,1,Réunion,64.1403,,,No,,,
5,1,Latvia,64.0938,,,No,,,
5,1,Niue,63.741,,,No,,,
5,1,Trinidad and Tobago,63.6591,,,No,,,
5,1,Syrian Arab Republic,63.6553,,,No,,,
5,1,Dem. People's Republic of Korea,63.5621,,,No,,,
5,1,Cook Islands,63.194,,,No,,,
5,1,Colombia,63.1926,,,Yes,,,
5,1,Tonga,63.1646,,,No,,,
5,1,Georgia,63.0889,,,No,,,
5,1,Isle of Man,62.8171,,,No,,,
5,1,Paraguay,62.5439,,,No,,,
5,1,French Guiana,62.2518,,,No,,,
5,1,Russian Federation,61.7554,,,No,,,
5,1,Samoa,61.591,,,No,,,
5,1,Libya,61.566,,,No,,,
5,1,Mauritius,61.5351,,,No,,,
5,1,New Caledonia,61.5154,,,No,,,
5,1,Iraq,61.3324,,,No,,,
5,1,Saint Kitts and Nevis,61.1472,,,No,,,
5,1,Republic of Moldova,61.1404,,,No,,,
5,1,Armenia,61.1339,,,No,,,
5,1,Solomon Islands,61.0751,,,No,,,
5,1,China,60.9393,,,No,,,
5,1,Dominican Republic,60.6973,,,No,,,
5,1,Tunisia,60.6797,,,No,,,
5,1,Mexico,60.531,,,No,,,
5,1,Republic of Korea,60.4841,,,No,,,
5,1,Fiji,60.3186,,,No,,,
5,1,Viet Nam,60.2186,,,No,,,
5,1,Ecuador,59.9703,,,No,,,
5,1,Uzbekistan,59.5357,,,No,,,
5,1,Greenland,59.0714,,,No,,,
5,1,Saudi Arabia,59.0145,,,No,,,
5,1,State of Palestine,58.8633,,,No,,,
5,1,Botswana,58.8542,,,No,,,
5,1,Micronesia (Fed. States of),58.7812,,,No,,,
5,1,Brazil,58.6743,,,No,,,
5,1,Philippines,58.5244,,,No,,,
5,1,Vanuatu,58.5052,,,No,,,
5,1,Türkiye,58.4526,,,No,,,
5,1,Guyana,58.3003,,,No,,,
5,1,Cabo Verde,58.2692,,,No,,,
5,1,Thailand,58.096,,,No,,,
5,1,Suriname,57.8131,,,No,,,
5,1,Peru,57.7317,,,No,,,
5,1,Honduras,57.489,,,No,,,
5,1,Marshall Islands,57.431,,,No,,,
5,1,Sao Tome and Principe,57.2821,,,No,,,
5,1,Kosovo (under UNSC res. 1244),57.0695,,,No,,,
5,1,Azerbaijan,56.7131,,,No,,,
5,1,Palau,56.6495,,,No,,,
5,1,South Africa,56.6381,,,No,,,
5,1,Kyrgyzstan,56.6164,,,No,,,
5,1,Wallis and Futuna Islands,56.5873,,,No,,,
5,1,Tuvalu,56.4832,,,No,,,
5,1,Kazakhstan,56.466,,,No,,,
5,1,Kenya,56.4143,,,No,,,
5,1,Lebanon,56.3585,,,No,,,
5,1,Nauru,56.2139,,,No,,,
5,1,Namibia,56.1502,,,No,,,
5,1,Tajikistan,56.1414,,,No,,,
5,1,Pakistan,55.735,,,No,,,
5,1,Indonesia,55.4051,,,No,,,
5,1,Kiribati,55.3102,,,No,,,
5,1,Iran (Islamic Republic of),55.1991,,,No,,,
5,1,Eswatini,55.0517,,,No,,,
5,1,Zambia,54.8549,,,No,,,
5,1,Oman,54.5873,,,No,,,
5,1,Papua New Guinea,54.5867,,,No,,,
5,1,Turkmenistan,54.5153,,,No,,,
5,1,Congo,54.4623,,,No,,,
5,1,Gabon,54.4326,,,No,,,
5,1,Guatemala,54.0492,,,No,,,
5,1,Falkland Islands (Malvinas),53.5164,,,No,,,
5,1,Mongolia,53.1327,,,No,,,
5,1,India,52.6987,,,No,,,
5,1,Morocco,52.5537,,,No,,,
5,1,Bangladesh,52.539,,,No,,,
5,1,Egypt,51.8791,,,No,,,
5,1,Sudan,51.7742,,,No,,,
5,1,Myanmar,51.4066,,,No,,,
5,1,Lesotho,51.2786,,,No,,,
5,1,El Salvador,50.5884,,,No,,,
5,1,Mauritania,50.5465,,,No,,,
5,1,Maldives,49.9646,,,No,,,
5,1,Algeria,49.4933,,,No,,,
5,1,Togo,49.4295,,,No,,,
5,1,Djibouti,49.2799,,,No,,,
5,1,Bolivia (Plurinational State of),49.1712,,,No,,,
5,1,Zimbabwe,49.017,,,No,,,
5,1,Cameroon,48.9189,,,No,,,
5,1,Madagascar,48.8026,,,No,,,
5,1,Ghana,48.6484,,,No,,,
5,1,Comoros,48.5375,,,No,,,
5,1,Côte d'Ivoire,48.4479,,,No,,,
5,1,Nicaragua,48.3868,,,No,,,
5,1,United Republic of Tanzania,48.3686,,,No,,,
5,1,Haiti,48.011,,,No,,,
5,1,Central African Republic,47.8742,,,No,,,
5,1,Nepal,47.0631,,,No,,,
5,1,Yemen,46.3853,,,No,,,
5,1,Lao People's Democratic Republic,45.944,,,No,,,
5,1,Bhutan,45.812,,,No,,,
5,1,Senegal,45.7671,,,No,,,
5,1,Rwanda,45.5069,,,No,,,
5,1,Somalia,45.4179,,,No,,,
5,1,Benin,44.4408,,,No,,,
5,1,Nigeria,43.8376,,,No,,,
5,1,Burkina Faso,43.7068,,,No,,,
5,1,Democratic Republic of the Congo,43.4275,,,No,,,
5,1,Mozambique,43.0873,,,No,,,
5,1,Burundi,43.0856,,,No,,,
5,1,Uganda,42.7805,,,No,,,
5,1,Liberia,42.7038,,,No,,,
5,1,Gambia,42.6064,,,No,,,
5,1,Guinea-Bissau,41.1356,,,No,,,
5,1,Malawi,41.0272,,,No,,,
5,1,Chad,40.5059,,,No,,,
5,1,Eritrea,40.501,,,No,,,
5,1,Guinea,40.4869,,,No,,,
5,1,Sierra Leone,40.4827,,,No,,,
5,1,Equatorial Guinea,39.2831,,,No,,,
5,1,Afghanistan,38.855,,,No,,,
5,1,Angola,38.7001,,,No,,,
5,1,Mali,38.1739,,,No,,,
5,1,Ethiopia,38.0884,,,No,,,
5,1,Niger,37.5577,,,No,,,
5,1,South Sudan,36.8017,,,No,,,
5,1,Western Sahara,34.854,,,No,,,
5,1,Timor-Leste,19.3222,,,No,,,
5,1,Cambodia,10.2501,,,No,,,
